,Sicoob Central Rondon,,,,,,,,,,,
,,,,,,,,,,,,
"Gerada por Murilo Henrique Jorge Deodati - Admin  Criado em : Feb 18, 2026 08:23 AM",,,,,,,,,,,,
Total de registros : 202,,,,,,,,,,,,
Produto,Local,Fornecedor,Tipo de produto,Associado aos ativos,Nome do ativo,Estado do ativo,Custo de Compra,Departamento,Código de barras,Usuário,Término do empréstimo,ID
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_30_4349_00.scr2008.local,In Store,-,-,-,-,-,855
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_30_4349_06.scr2008.local,In Store,-,-,-,-,-,825
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_31_4349_00.scr2008.local,In Store,-,-,-,-,-,2072
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_32_4349_00.scr2008.local,In Store,-,-,-,-,-,1850
Vostro 7620,SICOOB BURITIS,-,Laptop,-,sic_33_4349_00.scr2008.local,In Store,-,-,-,-,-,1166
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_35_4349_00.scr2008.local,In Store,-,-,-,-,-,1884
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_35_4349_06.scr2008.local,In Store,-,-,-,-,-,707
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_36_4349_00.scr2008.local,In Store,-,-,-,-,-,644
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_37_4349_00.scr2008.local,In Store,-,-,-,-,-,708
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_38_4349_00.scr2008.local,In Store,-,-,-,-,-,798
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_38_4349_06.scr2008.local,In Store,-,-,-,-,-,637
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_39_4349_00.scr2008.local,In Store,-,-,-,-,-,1181
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_40_4349_00.scr2008.local,In Store,-,-,-,-,-,680
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_40_4349_06.scr2008.local,In Store,-,-,-,-,-,2038
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_41_4349_00.scr2008.local,In Store,-,-,-,-,-,971
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_41_4349_06.scr2008.local,In Store,-,-,-,-,-,1974
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_42_4349_00.scr2008.local,In Store,-,-,-,-,-,674
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_42_4349_06.scr2008.local,In Store,-,-,-,-,-,1218
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_44_4349_00.scr2008.local,In Store,-,-,-,-,-,950
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_46_4349_00.scr2008.local,In Store,-,-,-,-,-,1263
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_47_4349_00.scr2008.local,In Store,-,-,-,-,-,1167
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_48_4349_00.scr2008.local,In Store,-,-,-,-,-,1094
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_50_4349_00.scr2008.local,In Store,-,-,-,-,-,900
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_51_4349_00.scr2008.local,In Store,-,-,-,-,-,2050
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_52_4349_00.scr2008.local,In Store,-,-,-,-,-,668
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_53_4349_00.scr2008.local,In Store,-,-,-,-,-,1097
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_54_4349_00.scr2008.local,In Store,-,-,-,-,-,2045
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_55_4349_00.scr2008.local,In Store,-,-,-,-,-,1471
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_56_4349_00.scr2008.local,In Store,-,-,-,-,-,1096
OptiPlex 3050,SICOOB BURITIS,-,Desktop,-,sic_57_4349_00.scr2008.local,In Store,-,-,-,-,-,799
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_60_4349_00.scr2008.local,In Store,-,-,-,-,-,1858
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_62_4349_00.scr2008.local,In Store,-,-,-,-,-,1025
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_63_4349_00.scr2008.local,In Store,-,-,-,-,-,1080
Latitude 3520,SICOOB BURITIS,-,Laptop,-,sic_65_4349_00.scr2008.local,In Store,-,-,-,-,-,852
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_66_4349_00.scr2008.local,In Store,-,-,-,-,-,940
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_68_4349_00.scr2008.local,In Store,-,-,-,-,-,898
Vostro 14-3468,SICOOB BURITIS,-,Laptop,-,sic_71_4349_00.scr2008.local,In Store,-,-,-,-,-,1912
