S.No,Computer Name,DNS Name,Operating System,Version
219,SIC_82_4349_00,SIC_82_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
220,SIC_83_4349_00,SIC_83_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
221,SIC_84_4349_00,SIC_84_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
222,SIC_85_4349_00,SIC_85_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
223,SIC_86_4349_00,SIC_86_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
224,SIC_87_4349_00,SIC_87_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
225,SIC_88_4349_00,SIC_88_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
226,SIC_89_4349_00,SIC_89_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
227,SIC_90_4349_00,SIC_90_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
228,SIC_91_4349_00,SIC_91_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
229,SIC_92_4349_00,SIC_92_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
230,SIC_93_4349_00,SIC_93_4349_00.scr2008.local,Windows 11 Pro,10.0 (26100)
231,SIC_94_4349_00,SIC_94_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
232,SIC_95_4349_00,SIC_95_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
233,SIC_96_4349_00,SIC_96_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
234,SIC_97_4349_00,SIC_97_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
235,SIC_98_4349_00,SIC_98_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
236,SIC_99_4349_00,SIC_99_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
